TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"May 7, 2019",121.21,128.36,121.21,127.81,1296800
"May 6, 2019",122.4,123.48,121.03,122.25,1079400
"May 3, 2019",125.55,126.0,121.5,122.44,450700
"May 2, 2019",126.52,126.98,125.1,126.13,287000
"Apr 30, 2019",128.49,130.2,126.1,127.32,1575100
"Apr 29, 2019",127.75,129.2,125.5,128.2,1649300
"Apr 26, 2019",126.92,128.5,126.03,127.15,1421100
"Apr 25, 2019",122.51,128.05,122.51,126.92,1688300
"Apr 24, 2019",121.5,125.0,121.25,122.22,1137000
"Apr 23, 2019",123.51,123.51,120.01,121.38,925600
"Apr 22, 2019",128.4,128.4,123.05,123.49,424100
"Apr 19, 2019",124.0,130.0,124.0,127.1,1758600
"Apr 18, 2019",121.25,125.25,121.2,123.81,1478200
"Apr 17, 2019",127.0,127.5,121.17,121.28,2805200
"Apr 16, 2019",129.0,129.5,126.25,127.54,603400
"Apr 15, 2019",126.0,130.89,125.01,128.01,2926100
"Apr 12, 2019",125.0,129.7,123.13,125.87,2495900
"Apr 11, 2019",123.89,124.25,121.98,123.62,2141600
"Apr 10, 2019",124.99,124.99,120.3,122.74,1082300
"Apr 9, 2019",125.5,128.16,123.25,124.27,2558700
"Apr 8, 2019",124.6,126.5,122.51,125.29,267900
"Apr 5, 2019",125.01,126.0,124.0,124.65,1524200
"Apr 4, 2019",126.55,126.9,123.02,125.14,1587800
"Apr 3, 2019",129.5,129.57,126.01,126.55,306700
"Apr 2, 2019",132.05,133.0,126.0,128.57,441400
"Apr 1, 2019",132.9,133.4,130.65,132.0,1903100
"Mar 29, 2019",134.0,137.0,131.1,132.49,2144800
"Mar 28, 2019",135.97,137.0,133.1,134.6,911100
"Mar 27, 2019",136.5,140.0,135.0,135.99,628700
"Mar 26, 2019",136.9,136.9,135.27,136.27,250300
"Mar 25, 2019",137.25,137.45,135.0,136.55,471400
"Mar 22, 2019",136.99,137.45,135.97,136.58,237700
"Mar 21, 2019",135.0,137.2,133.2,135.93,380800
"Mar 20, 2019",136.2,136.2,134.2,135.6,1341800
"Mar 19, 2019",137.0,137.01,134.25,135.6,895000
"Mar 18, 2019",132.5,137.9,131.98,137.23,672700
"Mar 15, 2019",134.06,135.68,131.99,132.89,430100
"Mar 14, 2019",133.76,136.0,133.76,135.01,284300
"Mar 13, 2019",134.49,135.53,133.5,135.03,380100
"Mar 12, 2019",136.1,136.99,132.99,133.94,551200
"Mar 11, 2019",136.99,138.8,135.0,135.96,846900
"Mar 8, 2019",136.99,136.99,135.5,135.98,1112300
"Mar 7, 2019",137.8,138.0,136.05,136.56,929900
"Mar 6, 2019",137.0,137.75,136.0,136.58,561900
"Mar 5, 2019",138.0,139.0,136.0,137.89,890100
"Mar 4, 2019",136.01,139.4,136.01,138.03,2366500
"Mar 1, 2019",132.0,136.35,131.89,135.53,1860600
"Feb 28, 2019",131.5,132.8,128.0,131.43,1337900
"Feb 27, 2019",128.0,131.0,123.0,130.12,1572100
"Feb 26, 2019",130.0,131.99,127.25,129.07,1331300
"Feb 25, 2019",134.0,134.0,129.5,130.09,992000
"Feb 22, 2019",135.13,135.13,130.8,133.51,1467400
"Feb 21, 2019",140.19,140.28,132.53,135.13,2487900
"Feb 20, 2019",136.01,139.9,136.0,139.36,2123200
"Feb 19, 2019",140.99,140.99,136.12,137.49,697800
"Feb 18, 2019",142.0,142.0,139.7,140.52,789500
"Feb 15, 2019",141.99,142.5,140.1,140.93,604000
"Feb 14, 2019",140.2,142.0,138.23,141.28,1359200
"Feb 13, 2019",140.98,142.94,139.98,140.35,1104400
"Feb 12, 2019",142.9,144.0,137.5,139.91,1208700
"Feb 11, 2019",148.0,148.3,139.99,142.13,1373800
"Feb 8, 2019",149.49,149.91,144.1,145.72,1768200
"Feb 7, 2019",150.0,150.5,148.15,148.73,1720400
"Feb 6, 2019",152.1,152.1,149.05,149.48,612500
"Feb 4, 2019",150.71,152.98,150.5,151.43,922400
"Feb 1, 2019",149.95,151.99,149.8,150.83,1441800
"Jan 31, 2019",149.0,150.24,148.0,148.88,1225500
"Jan 30, 2019",148.7,150.0,148.7,149.08,822100
"Jan 29, 2019",149.4,149.95,148.0,149.27,737400
"Jan 28, 2019",149.5,151.5,148.55,149.9,1247300
"Jan 25, 2019",148.95,150.0,148.5,149.28,3286200
"Jan 24, 2019",149.0,149.89,146.6,148.01,3149600
"Jan 23, 2019",142.9,145.0,142.9,144.61,3115400
"Jan 22, 2019",138.1,142.0,138.1,141.5,1728000
"Jan 21, 2019",134.05,139.0,134.05,137.93,1392300
"Jan 18, 2019",135.49,135.99,133.8,134.05,367500
"Jan 17, 2019",135.98,135.98,132.01,135.37,560900
"Jan 16, 2019",134.0,136.0,133.74,135.31,1350000
